botid,timestamp,coordinates_long,coordinates_lat,heading,stdev
6E5,1499097601.454,24.663108,59.397973,-0.716641,0.027637
6E5,1499097602.063,24.663102,59.397976,-0.724855,0.031432
6E5,1499097602.262,24.663096,59.397979,-0.728302,0.026824
6E5,1499097602.726,24.663091,59.397982,-0.719937,0.029236
6E5,1499097603.255,24.663083,59.397987,-0.70824,0.031799
6E5,1499097603.761,24.663077,59.39799,-0.702573,0.025763
6E5,1499097604.345,24.663071,59.397995,-0.693765,0.026766
6E5,1499097604.830,24.663067,59.397997,-0.686626,0.027295
6E5,1499097604.881,24.663066,59.397998,-0.685093,0.020627
6E5,1499097605.391,24.663064,59.397999,-0.676968,0.019352
6E5,1499097605.904,24.663059,59.398002,-0.670605,0.022095
6E5,1499097606.491,24.663053,59.398006,-0.672313,0.02186
6E5,1499097606.944,24.663048,59.398009,-0.670639,0.026044
6E5,1499097607.441,24.663042,59.398013,-0.669912,0.018351
6E5,1499097607.968,24.66304,59.398014,-0.671479,0.019513
6E5,1499097608.578,24.663037,59.398016,-0.67087,0.016279
6E5,1499097608.933,24.663036,59.398017,-0.67144,0.010802
6E5,1499097609.532,24.663036,59.398017,-0.672609,0.010498
6E5,1499097610.484,24.663037,59.398016,-0.67256,0.010501
6E5,1499097610.763,24.663037,59.398016,-0.672558,0.010501
6E5,1499097610.767,24.663037,59.398016,-0.672496,0.010501
6E5,1499097611.275,24.663037,59.398016,-0.672299,0.01061
6E5,1499097611.329,24.663037,59.398016,-0.672142,0.010614
6E5,1499097611.361,24.663037,59.398016,-0.672142,0.010614
6E5,1499097611.402,24.663037,59.398016,-0.671467,0.010701
6E5,1499097611.513,24.663037,59.398016,-0.673233,0.011297
6E5,1499097611.550,24.663037,59.398016,-0.670861,0.010965
6E5,1499097611.575,24.663037,59.398016,-0.671855,0.011707
6E5,1499097611.698,24.663037,59.398016,-0.673071,0.01265
6E5,1499097611.817,24.663037,59.398016,-0.672732,0.0129
6E5,1499097611.878,24.663036,59.398017,-0.672975,0.013684
6E5,1499097611.900,24.663036,59.398017,-0.67285,0.01422
6E5,1499097611.904,24.663036,59.398017,-0.673014,0.01448
6E5,1499097612.025,24.663036,59.398017,-0.673762,0.015237
6E5,1499097612.050,24.663036,59.398017,-0.673511,0.01548
6E5,1499097612.584,24.663034,59.398018,-0.673924,0.013938
6E5,1499097612.660,24.663033,59.398018,-0.676218,0.013744
6E5,1499097612.927,24.663033,59.398019,-0.675781,0.014422
6E5,1499097613.500,24.663033,59.398019,-0.674627,0.005441
6E5,1499097614.320,24.663034,59.398018,-0.67465,0.005453
6E5,1499097614.695,24.663032,59.398017,-0.674656,0.005453
6E5,1499097615.449,24.663032,59.398017,-0.67466,0.005453
6E5,1499097619.484,24.663034,59.398018,-0.674663,0.005453
6E5,1499097623.416,24.663036,59.398015,-0.674665,0.005454
6E5,1499097627.456,24.663036,59.398015,-0.674662,0.005453
6E5,1499097631.512,24.663035,59.398014,-0.67466,0.005453
6E5,1499097635.561,24.663033,59.398014,-0.674658,0.005453
6E5,1499097639.572,24.663033,59.398014,-0.67466,0.005453
6E5,1499097643.550,24.663033,59.398014,-0.674667,0.005454
6E5,1499097647.523,24.663033,59.398014,-0.674661,0.005453
6E5,1499097648.423,24.663033,59.398014,-0.674662,0.005453
6E5,1499097648.955,24.663033,59.398014,-0.657499,0.011896
6E5,1499097649.387,24.663031,59.398016,-0.618999,0.022873
6E5,1499097650.024,24.663022,59.398022,-0.610815,0.029007
6E5,1499097650.504,24.663011,59.39803,-0.612644,0.029497
6E5,1499097651.024,24.663004,59.398035,-0.615279,0.029606
6E5,1499097651.545,24.662994,59.398042,-0.611993,0.029728
6E5,1499097652.092,24.662984,59.39805,-0.616616,0.030564
6E5,1499097652.585,24.662978,59.398054,-0.614871,0.031532
6E5,1499097652.832,24.662971,59.398059,-0.611838,0.032663
6E5,1499097653.400,24.662964,59.398064,-0.594949,0.035579
6E5,1499097653.942,24.662955,59.398071,-0.580705,0.032367
6E5,1499097654.413,24.662949,59.398076,-0.596642,0.029132
6E5,1499097654.967,24.662939,59.398083,-0.608879,0.026614
6E5,1499097655.443,24.662933,59.398087,-0.591809,0.027414
6E5,1499097656.008,24.662923,59.398095,-0.582565,0.027437
6E5,1499097656.012,24.66292,59.398097,-0.581338,0.03088
6E5,1499097656.589,24.662914,59.398102,-0.559806,0.030747
6E5,1499097657.132,24.662904,59.39811,-0.543867,0.027299
6E5,1499097657.646,24.662898,59.398115,-0.53459,0.025236
6E5,1499097658.137,24.66289,59.398122,-0.528942,0.026221
6E5,1499097658.601,24.662881,59.39813,-0.530257,0.02743
6E5,1499097659.157,24.662875,59.398135,-0.53053,0.028107
6E5,1499097659.562,24.662866,59.39814,-0.53213,0.026328
6E5,1499097660.132,24.662859,59.398148,-0.528635,0.026435
6E5,1499097660.624,24.662855,59.398153,-0.526452,0.026602
6E5,1499097661.178,24.662847,59.39816,-0.527681,0.027806
6E5,1499097661.347,24.662844,59.398163,-0.527967,0.032737
6E5,1499097661.871,24.662835,59.39817,-0.52581,0.026237
6E5,1499097662.346,24.662829,59.398175,-0.521029,0.032992
6E5,1499097662.927,24.66282,59.398183,-0.521191,0.028831
6E5,1499097663.442,24.662815,59.398188,-0.518582,0.033512
6E5,1499097663.672,24.662809,59.398193,-0.517752,0.027542
6E5,1499097664.180,24.662803,59.398198,-0.520728,0.034415
6E5,1499097664.773,24.662795,59.398206,-0.524775,0.028091
6E5,1499097665.270,24.662789,59.398211,-0.530514,0.027224
6E5,1499097665.782,24.66278,59.398219,-0.528541,0.028899
6E5,1499097666.254,24.662772,59.398226,-0.529776,0.025248
6E5,1499097666.795,24.662766,59.398231,-0.529437,0.029043
6E5,1499097667.317,24.662757,59.398239,-0.527586,0.029885
6E5,1499097667.794,24.662751,59.398244,-0.528572,0.030799
6E5,1499097668.298,24.662742,59.398251,-0.527816,0.031741
6E5,1499097668.826,24.662734,59.398259,-0.525462,0.02837
6E5,1499097668.876,24.662734,59.398259,-0.525982,0.029285
6E5,1499097669.372,24.662728,59.398264,-0.547667,0.027616
6E5,1499097669.968,24.66272,59.398272,-0.572555,0.034159
6E5,1499097670.447,24.662714,59.398277,-0.585412,0.034959
6E5,1499097671.009,24.662704,59.398284,-0.591774,0.031273
6E5,1499097671.472,24.662694,59.398291,-0.593037,0.030608
6E5,1499097672.060,24.662687,59.398296,-0.593227,0.029987
6E5,1499097672.568,24.662679,59.398303,-0.591296,0.036877
6E5,1499097673.032,24.66267,59.398311,-0.592658,0.030324
6E5,1499097673.571,24.662663,59.398316,-0.593116,0.036961
6E5,1499097673.576,24.662663,59.398316,-0.592411,0.038464
6E5,1499097674.097,24.662653,59.398323,-0.602653,0.029042
6E5,1499097674.598,24.662644,59.39833,-0.60945,0.034934
6E5,1499097675.157,24.662637,59.398335,-0.611303,0.028265
6E5,1499097675.869,24.662627,59.398342,-0.613266,0.027892
6E5,1499097676.191,24.66262,59.398347,-0.613322,0.035108
6E5,1499097676.686,24.66261,59.398355,-0.613869,0.031325
6E5,1499097677.246,24.662603,59.398359,-0.615683,0.029996
6E5,1499097677.738,24.662593,59.398366,-0.613173,0.028779
6E5,1499097678.234,24.662587,59.39837,-0.614921,0.02661
6E5,1499097678.787,24.662579,59.398376,-0.599319,0.026367
6E5,1499097679.350,24.66257,59.398383,-0.587328,0.029347
6E5,1499097679.831,24.662563,59.398388,-0.579723,0.03022
6E5,1499097680.319,24.662553,59.398395,-0.576709,0.031064
6E5,1499097680.828,24.662547,59.3984,-0.574108,0.033673
6E5,1499097681.440,24.662538,59.398408,-0.571876,0.033826
6E5,1499097681.503,24.662535,59.39841,-0.572308,0.033479
6E5,1499097681.687,24.662532,59.398413,-0.56617,0.032045
6E5,1499097682.240,24.662529,59.398417,-0.586242,0.029172
6E5,1499097682.756,24.662523,59.398421,-0.593353,0.024299
6E5,1499097683.236,24.66252,59.398423,-0.59973,0.029749
6E5,1499097683.749,24.662514,59.398427,-0.607248,0.030113
